keyword,mID
marvel comics,9073746
based on comic book,9073746
superhero,9073746
teenage superhero,9073746
superheroine,9073746
dog,4136456
chopping wood,4136456
firewood,4136456
execution,4136456
fake identity,4136456
blackface,0018037
national film registry,0018037
afi,0018037
1920s,0018037
blockbuster,0018037
national film registry,0036391
classic musical,0036391
timeframe 1900s,0036391
stage show,0036391
parade,0036391
teasing,3339674
rake,3339674
psychotronic film,3339674
reference to hades the greek deity,3339674
punched in the face,3339674
glass,0119843
church,0119843
wager,0119843
inheritance,0119843
gambling,0119843
canadian army,0062886
commando,0062886
italy,0062886
commando mission,0062886
italian campaign,0062886
magic,5807628
dragonslayer,5807628
greed,5807628
vision,5807628
elderly man,5807628
crude humor,0112508
teacher student relationship,0112508
banana peel,0112508
high school graduation,0112508
academic decathlon,0112508
spider,8328740
lizard,8328740
inn,8328740
ghost child,8328740
ghost human relationship,8328740
female nudity,0337764
sex,0337764
russia,0110857
red dress,0110857
lingerie,0110857
panties,0110857
scantily clad female,0110857
bagman,1194417
scene during end credits,1194417
ends with real life footage,1194417
character name as title,1194417
nickname as title,1194417
investigation,2350892
deep south,2350892
swamp,2350892
contract killer,2350892
detective,2350892
dead reindeer,0053232
killing a reindeer,0053232
dead animal,0053232
monster kills animal,0053232
sasquatch,0053232
piano,0117631
pianist,0117631
australia,0117631
abuse,0117631
mental institution,0117631
invasion,1217613
alien invasion,1217613
extraterrestrial,1217613
male lieutenant,1217613
wounded man,1217613
death,4034228
death of brother,4034228
manchester massachusetts,4034228
massachusetts,4034228
guardian,4034228
loss of son,1152758
pregnancy,1152758
child custody,1152758
biting fingernails,1152758
death of friend,1152758
butler,9174578
brit abroad,9174578
gentleman,9174578
man servant,9174578
gentleman's gentleman,9174578
murder,6205872
small town,6205872
high school,6205872
police,6205872
tied feet,6205872
money,0273982
hustler,0273982
jail,0273982
beating,0273982
revenge,0273982
anime,3105422
baseball,3105422
friendship,3105422
high school,3105422
based on manga,3105422
hairstyling,7129636
father daughter relationship,7129636
instructional video,7129636
combing hair,7129636
hair,7129636
detective,0098471
bank robbery,0098471
hostage,0098471
release from prison,0098471
police,0098471
alternate history,0120569
muscleman,0120569
bare chested male bondage,0120569
based on comic book,0120569
character name as series title,0120569
slavery,4648786
underground railroad,4648786
harriet tubman character,4648786
antebellum america,4648786
african american,4648786
charade,0115685
pretense,0115685
sham,0115685
united states of america,0115685
united states,0115685
tv mini series,15169492
category podcast,15169492
spin off,15169492
80s,15169492
woman uses a wheelchair,1319694
pre world war two,1319694
family relationships,1319694
family secret,1319694
secret,1319694
sex scene,2112210
strip club,2112210
exotic dancer,2112210
stripper,2112210
oral sex,2112210
body swap,0118178
pantyhose,0118178
guitar,0118178
trumpet,0118178
saxophone,0118178
forger,0060522
burglar,0060522
heist,0060522
museum,0060522
police,0060522
cgi animation,1620981
lion,1620981
grandmother,1620981
wedding,1620981
reboot,1620981
godzilla,0097444
kaiju,0097444
japan,0097444
tokusatsu,0097444
fictional country,0097444
police,0920448
first love,7521898
love at first sight,7521898
family tragedy,7521898
compensation,7521898
memorial,7521898
crutches,2866708
