mID,name,releaseDate,popularity_score,popularity_delta,color,runtime,aspectratio,imdb_rating,grossingUS_CA,grossingUS_CA_OpeningWeekend,grossingWorldwide
7377132,Mothers' Instinct,"April 17, 2019",,,Color,97,2.39:1,6.5,,,"135,950"
0080365,American Gigolo,"February 1, 1980","4,358",599,Color,117,1.85:1,6.3,"22,743,674","3,559,930","22,743,674"
0088100,Devil Fish,"November 14, 1986",,,,90,1.66:1,2.7,,,
0103239,Wedlock,"September 5, 1991",,,Color,101,1.85:1,5.9,,,
7826034,Resident Evil 2,"January 25, 2019",,,Color,,,9.1,,,
1519461,Area 51,"May 15, 2015",,,Color,91,1.78:1,4.2,"7,556","7,556","7,556"
1928330,Bad Ass,"November 5, 2014","4,349","7,750",Color,90,1.85:1,5.4,,,
5598292,Polaroid,"September 17, 2019",,,Color,88,2.35:1,5.1,,,"1,772,204"
8267604,Capernaum,"September 20, 2018","1,410",72,Color,126,2.35:1,8.4,"1,661,096","24,988","64,417,003"
0080419,Barnens ö,"December 25, 1980",,,,109,,6.5,,,
0131857,BASEketball,"July 31, 1998",,,Color,103,1.85:1,6.5,"7,027,290","3,086,105","7,027,290"
0318081,A Sound of Thunder,"September 2, 2005",,,Color,110,2.39:1,4.2,"1,900,451","917,398","11,665,465"
10199590,Les Misérables,"November 20, 2019",,,Color,104,2.35:1,7.6,"330,181","24,154","22,342,519"
0027260,After the Thin Man,"December 25, 1936",,,Black and White,112,1.37:1,7.7,,,
0964587,St. Trinian's,"December 21, 2007","3,208",183,Color,97,1.85:1,5.8,,,"29,066,681"
4442758,Temper,"February 12, 2015",,,Color,147,,7.6,,,"₹740,300,000"
0113416,The Incredibly True Adventure of Two Girls in Love,"June 16, 1995",,,Color,94,1.85:1,6.6,"2,213,927","1,066","2,213,927"
0312528,The Cat in the Hat,"November 21, 2003","2,849",260,Color,82,1.85:1,4.1,"101,149,285","38,329,160","133,960,541"
6904272,The Negotiation,"September 19, 2018",,,Color,114,2.35:1,6.7,"110,986","14,273","15,229,193"
0271295,In Deep,"February 19, 2001",,,,,,7.0,,,
0069895,The Crazies,"March 16, 1973",,,Color,103,1.66:1,6.1,,,
0093624,Night of the Demons,"October 14, 1988",,,Color,90,1.85:1,6.1,"3,109,904",,"3,109,904"
0050858,The Pride and the Passion,"July 10, 1957",,,,132,1.85:1,5.7,,,
0935075,Rabbit Hole,"January 28, 2011","4,930",273,Color,91,1.85:1,7.0,"2,229,058","53,778","5,144,717"
5022702,Hush,"April 8, 2016","2,162",150,Color,82,2.35:1,6.6,,,
4154664,Captain Marvel,"March 8, 2019",430,65,,123,2.39:1,6.8,"426,829,839","153,433,423","1,128,462,972"
0035211,The Pride of the Yankees,"March 5, 1943",,,Black and White,128,1.37:1,7.6,,,
0286788,What a Girl Wants,"April 4, 2003",,,Color,105,2.39:1,5.8,"36,105,433","11,434,964","50,732,139"
0063946,My Partner the Ghost,1973,,,Color,60,1.33:1,7.6,,,
13612448,Under the Vines,"December 6, 2021","3,522",495,Color,60,,7.3,,,
4773054,The Last Fiction,"November 27, 2019",,,,100,,7.5,,,
0449467,Babel,"November 10, 2006","2,410",394,Color,143,1.85:1,7.5,"34,302,837","389,351","135,330,182"
5302168,Street Fighter: Resurrection,"March 15, 2016",,,Color,,,6.3,,,
0107711,Nowhere to Run,"January 15, 1993",,,Color,94,1.85:1,5.7,"22,189,039","8,203,255","22,189,039"
0109890,The Getaway,"February 11, 1994",,,Color,115,2.39:1,5.8,"16,094,974","5,806,515","30,057,974"
0094074,Superman IV: The Quest for Peace,"July 24, 1987","3,860",754,Color,90,2.39:1,3.7,"15,681,020","5,683,122","15,681,020"
10449370,I Wanna Hear Your Song,"August 5, 2019",,,,35,,7.2,,,
5795154,Seveneves,,,,,,,,,,
3208802,Bikini Model Academy,"July 23, 2019",,,Color,84,,2.4,,,
8936944,Percy Jackson & The Olympians: The Lightning Thief: Deleted Scenes,2010,,,Color,,,6.7,,,
0826593,Pandemic,"October 27, 2009",,,Color,91,,3.3,,,
0090357,Young Sherlock Holmes,"December 4, 1985",,,Color,109,1.85:1,6.8,"19,739,575","2,538,234","19,739,575"
17024632,7 Fates: Chakho,"January 15, 2022",,,Color,,,9.2,,,
0365847,The Myth,"September 23, 2005",,,Color,122,2.35:1,6.1,,,"6,669,097"
2837574,The Old Man & the Gun,"October 19, 2018",,,Color,93,2.35:1,6.7,"11,277,120","142,131","17,860,397"
0169473,Mazinger Z,"December 3, 1972",,,Color,30,1.37:1,7.8,,,
2122313,The Circle,"February 18, 2015",,,Color,144,2.35:1,5.8,,,"1,117,789"
4210080,The Confirmation,"March 18, 2016",,,Color,101,1.85:1,6.4,,,"8,382"
10986050,Criminal: Spain,"September 20, 2019",,,,40,16:9HD,6.9,,,
10944486,Chick Fight,"November 13, 2020",,,Color,97,,4.7,,,"70,248"
0102460,Mobsters,"July 26, 1991",,,Color,104,1.85:1,5.9,"20,246,790","6,030,585","20,246,790"
2326204,A Belfast Story,"September 20, 2013",,,Color,99,,4.6,,,"181,108"
5540188,The Nile Hilton Incident,"July 5, 2017",,,Color,111,2.39:1,6.7,"81,089","8,183","3,979,536"
2923316,American Heist,"July 24, 2015",,,Color,94,2.40:1,5.0,,,"2,931,475"
0210945,Remember the Titans,"September 29, 2000",997,143,,113,2.39:1,7.8,"115,719,751","20,905,831","136,771,683"
12399056,Bloodthirsty,"April 23, 2021",,,Color,84,2.39:1,4.8,,,
1440728,The American,"September 1, 2010",,,Color,105,2.35:1,6.3,"35,606,376","13,177,790","67,876,281"
11283014,Forgotten Paradise,"November 5, 2019",,,Color,,,,,,
11138512,The Northman,"April 22, 2022",9,17,Color,136,2.00:1,8.5,,,
11343494,Darrylgorn,"November 22, 2019",,,Color,8,,6.2,,,
0293416,Metropolis,"January 25, 2002",,,Color,108,1.85:1,7.2,"722,932","84,660","4,035,192"
2049543,Synchronicity,"January 22, 2016",,,Color,101,2.35:1,5.4,"4,505","2,859","4,505"
1398426,Straight Outta Compton,"August 14, 2015","1,817",362,Color,147,2.39:1,7.8,"161,197,785","60,200,180","201,634,991"
4575512,Untitled Mad Max Project,September 2022,"4,302",661,,,,,,,
0116745,Kansas City,"August 16, 1996",,,Color,116,1.85:1,6.3,"1,356,329",,"1,356,828"
0260866,Don't Say a Word,"September 28, 2001",,,Color,113,2.39:1,6.3,"55,001,642","17,090,474","100,020,092"
15430628,Ride On,"December 31, 2022",,,Color,,,,,,
