genre,mID
Drama,3602976
Sci-Fi,3602976
Action,6679794
Biography,6679794
Drama,6679794
History,6679794
War,6679794
Horror,0075620
Sci-Fi,0075620
Thriller,0075620
Crime,0101669
Drama,0101669
Mystery,0101669
Thriller,0101669
Crime,7493366
Horror,7493366
Musical,7493366
Comedy,1861225
Drama,13060796
Horror,13060796
Thriller,13060796
Comedy,0110759
Action,0067334
Adventure,0067334
Drama,0067334
Sport,0067334
Drama,2563158
Mystery,2563158
Animation,4885916
Adventure,4885916
Family,4885916
Action,9218128
Adventure,9218128
Drama,9218128
Comedy,0450843
Horror,0450843
Thriller,0450843
Animation,0295914
Action,0295914
Adventure,0295914
Comedy,0295914
Family,0295914
Fantasy,0295914
Sci-Fi,0295914
Animation,15470214
Short,15470214
Adventure,15470214
Comedy,15470214
Comedy,5439812
Crime,5439812
Drama,5439812
Animation,0088491
Family,0088491
Comedy,0088491
Crime,0845746
Drama,0845746
Mystery,0845746
Drama,11364112
Romance,11364112
Action,5235880
Adventure,5235880
Comedy,5235880
Drama,5235880
Sci-Fi,5235880
Animation,3748918
Action,3748918
Fantasy,3748918
Horror,3748918
Animation,10431262
Action,10431262
Adventure,10431262
Comedy,10431262
Fantasy,10431262
Romance,10431262
Action,0081249
Comedy,0081249
Crime,0081249
Mystery,0081249
Sci-Fi,0081249
Action,7369550
Adventure,7369550
Comedy,7369550
Action,2535470
Comedy,2535470
Horror,2535470
Crime,11349196
Drama,11349196
Mystery,11349196
Thriller,11349196
Comedy,0101615
Drama,0101615
Music,0101615
Romance,0101615
Drama,2401798
Mystery,2401798
Thriller,2401798
Horror,7043012
Mystery,7043012
Thriller,7043012
Drama,0063678
Mystery,0063678
Horror,0080486
Action,12446086
Fantasy,12446086
Sci-Fi,12446086
Animation,2162709
Adventure,2162709
Comedy,2162709
Family,2162709
Fantasy,2162709
Musical,2162709
Mystery,2162709
Crime,5651338
Drama,5651338
Mystery,5651338
Sci-Fi,5651338
Thriller,5651338
Crime,0082085
Drama,0082085
Mystery,0082085
Thriller,0082085
Horror,15331908
Action,5769154
Adventure,5769154
Fantasy,5769154
Sci-Fi,5769154
Action,0346491
Biography,0346491
Drama,0346491
History,0346491
War,0346491
Comedy,1340773
Drama,1340773
Drama,0077405
Romance,0077405
Action,16409202
Adventure,16409202
Comedy,16409202
Fantasy,16409202
Action,0097770
Crime,0097770
Drama,0097770
