nconst,primaryName,birthYear,deathYear
nm0191783,Ji-Tu Cumbuka,1940,2017
nm0463100,Milt Kogan,1936,\N
nm0137142,Carmine Caridi,1934,2019
nm0807025,Yakov Smirnoff,1951,\N
nm0001548,Rick Moranis,1953,\N
nm0803890,Gustaf Skarsgård,1980,\N
nm6946524,Díana Bermudez,\N,\N
nm0375138,Sofia Helin,1972,\N
nm6241336,Tove Lo,1987,\N
nm2527686,Lisa Carlehed,\N,\N
nm0388732,Stig Henrik Hoff,1965,\N
nm2072009,Mikkel Bratt Silset,\N,\N
nm0455663,Laurence Kinlan,1983,\N
nm5899797,Hannes Fohlin,\N,\N
nm7974843,Owen Crow Shoe,\N,\N
nm11953274,Pedram Hajigholi,\N,\N
nm0337812,Duncan Green,1961,\N
nm0076772,Lena-Pia Bernhardsson,1945,\N
nm2999322,Eric Stern,\N,\N
nm6335917,Adrian Taheri,1990,\N
nm0835563,Lena Strömdahl,1947,\N
nm6871850,Emelie Dahlskog,\N,\N
nm4553679,James Longshore,\N,\N
nm0000551,Dermot Mulroney,1963,\N
nm0460694,Robert Knepper,1959,\N
nm0000624,Laura San Giacomo,1962,\N
nm0000276,Sean Astin,1971,\N
nm0001267,Balthazar Getty,1975,\N
nm0000226,Will Smith,1968,\N
nm0001457,James Le Gros,1962,\N
nm0001442,Ricki Lake,1968,\N
nm0001223,Lara Flynn Boyle,1970,\N
nm0229930,Peter Dobson,1964,\N
nm0001492,Kyle MacLachlan,1959,\N
nm0001529,Nancy McKeon,1966,\N
nm0000284,Adam Baldwin,1962,\N
nm0001797,Rachel Ticotin,1958,\N
nm0000192,Alyssa Milano,1972,\N
nm0416415,Debbie James,1967,\N
nm0000274,David Arquette,1971,\N
nm0744235,Leo Rossi,1946,\N
nm1502469,Dar Salim,1977,\N
nm4439530,Danica Curcic,1985,\N
nm1046521,Lars Ranthe,1969,\N
nm1939580,Jakob Oftebro,1986,\N
nm0540038,Søren Malling,1964,\N
nm3223453,Marco Ilsø,1994,\N
nm9489110,Jens Ferdinand Holmberg,\N,\N
nm9850286,Steffen Brink Jensen,\N,\N
nm2310763,Kenneth M. Christensen,1983,\N
